"Competition","Player","Team","Age","Position","Avg.Rating","Minutes","Goals","Assists","G+A","Impact"
"UEFA Champions League 2024/25","Ben White","Arsenal",27,"Right-Back",5.57,335,0,0,0,"-"
"UEFA Champions League 2024/25","Bukayo Saka","Arsenal",23,"Right-Winger",7.17,760,6,2,8,"0.79"
"UEFA Champions League 2024/25","David Raya","Arsenal",29,"Goalkeeper",7.47,1170,0,0,0,"1.09"
"UEFA Champions League 2024/25","Declan Rice","Arsenal",26,"Left-Midfielder",7.44,1002,4,2,6,"1.06"
"UEFA Champions League 2024/25","Ethan Nwaneri","Arsenal",17,"Right-Winger",6.85,224,2,0,2,"-"
"UEFA Champions League 2024/25","Gabriel Jesus","Arsenal",27,"Centre-Foward",6.13,258,0,1,1,"-"
"UEFA Champions League 2024/25","Gabriel Magalhães","Arsenal",27,"Centre-Back",7.2,803,1,0,1,"0.82"
"UEFA Champions League 2024/25","Gabriel Martinelli","Arsenal",23,"Left-Winger",6.64,934,2,1,3,"0.26"
"UEFA Champions League 2024/25","Jakub Kiwior","Arsenal",25,"Centre-Back",5.92,772,0,0,0,"-0.46"
"UEFA Champions League 2024/25","Jorginho","Arsenal",33,"Midfielder",5.28,324,1,0,1,"-"
"UEFA Champions League 2024/25","Jurriën Timber","Arsenal",23,"Right-Back",6.89,848,1,1,2,"0.51"
"UEFA Champions League 2024/25","Kai Havertz","Arsenal",25,"Centre-Foward",7.35,561,4,1,5,"0.97"
"UEFA Champions League 2024/25","Kieran Tierney","Arsenal",27,"Left-Winger",4.93,121,0,0,0,"-"
"UEFA Champions League 2024/25","Leandro Trossard","Arsenal",30,"Centre-Foward",6.23,668,2,2,4,"-0.15"
"UEFA Champions League 2024/25","Martin Ødegaard","Arsenal",26,"Right-Midfielder",6.7,797,3,1,4,"0.32"
"UEFA Champions League 2024/25","Mikel Merino","Arsenal",28,"Centre-Foward",6.36,817,2,3,5,"-0.02"
"UEFA Champions League 2024/25","Myles Lewis-Skelly","Arsenal",18,"Left-Back",6.28,565,0,1,1,"-0.1"
"UEFA Champions League 2024/25","Neto","Arsenal",35,"Goalkeeper",6.67,90,0,0,0,"-"
"UEFA Champions League 2024/25","Oleksandr Zinchenko","Arsenal",28,"Left-Back",5.66,194,1,0,1,"-"
"UEFA Champions League 2024/25","Raheem Sterling","Arsenal",30,"Right-Winger",5.9,298,0,2,2,"-"
"UEFA Champions League 2024/25","Riccardo Calafiori","Arsenal",22,"Left-Back",6.09,431,1,1,2,"-0.29"
"UEFA Champions League 2024/25","Thomas Partey","Arsenal",31,"Midfielder",5.94,897,0,0,0,"-0.44"
"UEFA Champions League 2024/25","William Saliba","Arsenal",24,"Centre-Back",6.56,990,0,0,0,"0.18"
"UEFA Champions League 2024/25","Amadou Onana","Aston Villa",23,"Midfielder",5.9,271,1,0,1,"-"
"UEFA Champions League 2024/25","Axel Disasi","Aston Villa",27,"Right-Back",5.34,126,0,0,0,"-"
"UEFA Champions League 2024/25","Boubacar Kamara","Aston Villa",25,"Midfielder",5.72,702,0,0,0,"-0.28"
"UEFA Champions League 2024/25","Diego Carlos","Aston Villa",31,"Centre-Back",6.52,484,0,0,0,"0.52"
"UEFA Champions League 2024/25","Emi Buendía","Aston Villa",28,"Left-Winger",5.46,114,0,0,0,"-"
"UEFA Champions League 2024/25","Emiliano Martínez","Aston Villa",32,"Goalkeeper",7.44,1080,0,0,0,"1.44"
"UEFA Champions League 2024/25","Ezri Konsa","Aston Villa",27,"Centre-Back",6.62,990,1,0,1,"0.62"
"UEFA Champions League 2024/25","Ian Maatsen","Aston Villa",23,"Left-Back",5.96,380,1,0,1,"-"
"UEFA Champions League 2024/25","Jacob Ramsey","Aston Villa",23,"Left-Winger",6.43,396,1,2,3,"0.43"
"UEFA Champions League 2024/25","Jaden Philogene Bidace","Aston Villa",22,"Right-Winger",6.96,121,0,0,0,"-"
"UEFA Champions League 2024/25","Jáder Durán","Aston Villa",21,"Centre-Foward",5.91,241,3,0,3,"-"
"UEFA Champions League 2024/25","John McGinn","Aston Villa",30,"Left-Winger",6.67,734,3,2,5,"0.67"
"UEFA Champions League 2024/25","Kosta Nedeljković","Aston Villa",18,"Right-Back",4.08,31,0,0,0,"-"
"UEFA Champions League 2024/25","Lamare Bogarde","Aston Villa",21,"Right-Back",5.76,141,0,0,0,"-"
"UEFA Champions League 2024/25","Leon Bailey","Aston Villa",27,"Right-Winger",5.93,526,1,1,2,"-0.07"
"UEFA Champions League 2024/25","Lucas Digne","Aston Villa",31,"Left-Back",5.88,743,0,0,0,"-0.12"
"UEFA Champions League 2024/25","Marco Asensio","Aston Villa",29,"Attacking-Mid",6.04,129,3,0,3,"-"
"UEFA Champions League 2024/25","Marcus Rashford","Aston Villa",27,"Centre-Foward",7.21,307,0,2,2,"-"
"UEFA Champions League 2024/25","Matty Cash","Aston Villa",27,"Right-Back",5.52,513,0,0,0,"-0.48"
"UEFA Champions League 2024/25","Morgan Rogers","Aston Villa",22,"Attacking-Mid",6.44,1022,4,2,6,"0.44"
"UEFA Champions League 2024/25","Ollie Watkins","Aston Villa",29,"Centre-Foward",5.53,695,1,4,5,"-0.47"
"UEFA Champions League 2024/25","Pau Torres","Aston Villa",28,"Centre-Back",6.37,680,0,2,2,"0.37"
"UEFA Champions League 2024/25","Ross Barkley","Aston Villa",30,"Midfielder",5.8,103,1,0,1,"-"
"UEFA Champions League 2024/25","Tyrone Mings","Aston Villa",31,"Centre-Back",5.99,310,0,0,0,"-"
"UEFA Champions League 2024/25","Youri Tielemans","Aston Villa",27,"Midfielder",6.72,1041,2,3,5,"0.72"
"UEFA Champions League 2024/25","Ademola Lookman","Atalanta",27,"Centre-Foward",8.53,479,5,1,6,"2.72"
"UEFA Champions League 2024/25","Ben Godfrey","Atalanta",26,"Centre-Back",3.99,19,0,0,0,"-"
"UEFA Champions League 2024/25","Berat Djimsiti","Atalanta",31,"Centre-Back",6.06,678,1,0,1,"0.25"
"UEFA Champions League 2024/25","Charles De Ketelaere","Atalanta",23,"Centre-Foward",7.17,699,4,5,9,"1.36"
"UEFA Champions League 2024/25","Davide Zappacosta","Atalanta",32,"Wing-Back",7.27,697,0,5,5,"1.46"
"UEFA Champions League 2024/25","Éderson","Atalanta",25,"Midfielder",6.49,739,1,0,1,"0.68"
"UEFA Champions League 2024/25","Giorgio Scalvini","Atalanta",21,"Centre-Back",4.51,36,0,0,0,"-"
"UEFA Champions League 2024/25","Isak Hien","Atalanta",26,"Centre-Back",5.89,709,0,1,1,"0.08"
"UEFA Champions League 2024/25","Juan Cuadrado","Atalanta",36,"Wing-Back",6.3,320,0,1,1,"-"
"UEFA Champions League 2024/25","Lazar Samardzic","Atalanta",22,"Attacking-Mid",7.04,293,1,1,2,"-"
"UEFA Champions League 2024/25","Marco Brescianini","Atalanta",25,"Attacking-Mid",5.19,127,1,0,1,"-"
"UEFA Champions League 2024/25","Marco Carnesecchi","Atalanta",24,"Goalkeeper",6.4,810,0,0,0,"0.59"
"UEFA Champions League 2024/25","Marco Palestra","Atalanta",19,"Wing-Back",5.16,66,0,0,0,"-"
"UEFA Champions League 2024/25","Mario Pašalić","Atalanta",30,"Attacking-Mid",6.44,603,3,1,4,"0.63"
"UEFA Champions League 2024/25","Marten de Roon","Atalanta",33,"Midfielder",5.9,873,0,1,1,"0.09"
"UEFA Champions League 2024/25","Mateo Retegui","Atalanta",25,"Centre-Foward",6.35,569,3,0,3,"0.54"
"UEFA Champions League 2024/25","Matteo Ruggeri","Atalanta",22,"Wing-Back",5.68,297,0,0,0,"-"
"UEFA Champions League 2024/25","Nicolò Zaniolo","Atalanta",25,"Centre-Foward",5.66,133,1,0,1,"-"
"UEFA Champions League 2024/25","Odilon Kossounou","Atalanta",23,"Centre-Back",6.75,267,0,2,2,"-"
"UEFA Champions League 2024/25","Rafael Tolói","Atalanta",34,"Centre-Back",4.43,212,0,0,0,"-"
"UEFA Champions League 2024/25","Raoul Bellanova","Atalanta",24,"Wing-Back",5.8,463,1,0,1,"-0.01"
"UEFA Champions League 2024/25","Rui Patrício","Atalanta",36,"Goalkeeper",4.03,90,0,0,0,"-"
"UEFA Champions League 2024/25","Sead Kolašinac","Atalanta",31,"Centre-Back",6.78,633,1,1,2,"0.97"
"UEFA Champions League 2024/25","Stefan Posch","Atalanta",27,"Centre-Back",4.47,84,0,0,0,"-"
"UEFA Champions League 2024/25","Alexander Sørloth","Atlético Madrid",29,"Centre-Foward",4.88,293,0,0,0,"-"
"UEFA Champions League 2024/25","Ángel Correa","Atlético Madrid",30,"Centre-Foward",5.91,269,3,1,4,"-"
"UEFA Champions League 2024/25","Antoine Griezmann","Atlético Madrid",33,"Centre-Foward",7.54,728,6,2,8,"1.81"
"UEFA Champions League 2024/25","Axel Witsel","Atlético Madrid",35,"Centre-Back",5.37,271,0,0,0,"-"
"UEFA Champions League 2024/25","César Azpilicueta","Atlético Madrid",35,"Left-Back",6.02,113,0,0,0,"-"
"UEFA Champions League 2024/25","Clément Lenglet","Atlético Madrid",29,"Centre-Back",6.02,630,0,0,0,"0.29"
"UEFA Champions League 2024/25","Conor Gallagher","Atlético Madrid",25,"Midfielder",5.7,469,1,1,2,"-0.03"
"UEFA Champions League 2024/25","Giuliano Simeone","Atlético Madrid",22,"Right-Midfielder",6.03,567,1,2,3,"0.3"
"UEFA Champions League 2024/25","Jan Oblak","Atlético Madrid",32,"Goalkeeper",6.44,930,0,0,0,"0.71"
"UEFA Champions League 2024/25","Javi Galán","Atlético Madrid",30,"Left-Back",6.58,450,0,1,1,"0.85"
"UEFA Champions League 2024/25","Javier Serrano","Atlético Madrid",21,"Midfielder",3.61,45,0,0,0,"-"
"UEFA Champions League 2024/25","José María Giménez","Atlético Madrid",30,"Centre-Back",5.97,750,1,0,1,"0.24"
"UEFA Champions League 2024/25","Julián Álvarez","Atlético Madrid",25,"Centre-Foward",7.07,784,7,1,8,"1.34"
"UEFA Champions League 2024/25","Koke","Atlético Madrid",33,"Midfielder",5.07,403,0,1,1,"-0.66"
"UEFA Champions League 2024/25","Marcos Llorente","Atlético Madrid",30,"Right-Back",7.11,692,2,4,6,"1.38"
"UEFA Champions League 2024/25","Nahuel Molina","Atlético Madrid",26,"Right-Back",5.07,429,1,0,1,"-0.66"
"UEFA Champions League 2024/25","Pablo Barrios","Atlético Madrid",21,"Midfielder",5.66,431,0,0,0,"-0.07"
"UEFA Champions League 2024/25","Reinildo Mandava","Atlético Madrid",31,"Left-Back",5.08,367,0,0,0,"-"
"UEFA Champions League 2024/25","Robin Le Normand","Atlético Madrid",28,"Centre-Back",5.36,231,0,0,0,"-"
"UEFA Champions League 2024/25","Rodrigo De Paul","Atlético Madrid",30,"Midfielder",6.12,743,0,1,1,"0.39"
"UEFA Champions League 2024/25","Rodrigo Riquelme","Atlético Madrid",24,"Right-Midfielder",5.94,147,0,0,0,"-"
"UEFA Champions League 2024/25","Samuel Lino","Atlético Madrid",25,"Left-Midfielder",5.97,412,0,3,3,"0.24"
"UEFA Champions League 2024/25","Thomas Lemar","Atlético Madrid",29,"Centre-Foward",4.26,10,0,0,0,"-"
"UEFA Champions League 2024/25","Alejandro Balde","Barcelona",21,"Left-Back",6.68,803,0,2,2,"0.54"
"UEFA Champions League 2024/25","Ansu Fati","Barcelona",21,"Midfielder",5.32,41,0,0,0,"-"
"UEFA Champions League 2024/25","Dani Olmo","Barcelona",26,"Attacking-Mid",6.66,435,2,1,3,"0.52"
"UEFA Champions League 2024/25","Eric García","Barcelona",24,"Right-Back",5.66,276,2,0,2,"-"
"UEFA Champions League 2024/25","Fermin López","Barcelona",21,"Attacking-Mid",5.76,453,1,3,4,"-0.38"
"UEFA Champions League 2024/25","Ferrán Torres","Barcelona",25,"Centre-Foward",5.31,426,3,1,4,"-0.83"
"UEFA Champions League 2024/25","Frenkie de Jong","Barcelona",27,"Midfielder",5.37,804,0,0,0,"-0.77"
"UEFA Champions League 2024/25","Gavi","Barcelona",20,"Attacking-Mid",4.52,301,0,0,0,"-"
"UEFA Champions League 2024/25","Gerard Martín","Barcelona",23,"Left-Back",5.81,446,0,3,3,"-0.33"
"UEFA Champions League 2024/25","Héctor Fort","Barcelona",18,"Centre-Back",5.34,50,0,0,0,"-"
"UEFA Champions League 2024/25","Iñaki Peña","Barcelona",25,"Goalkeeper",6.01,450,0,0,0,"-0.13"
"UEFA Champions League 2024/25","Iñigo Martínez","Barcelona",33,"Centre-Back",6.86,954,2,1,3,"0.72"
"UEFA Champions League 2024/25","Jules Koundé","Barcelona",26,"Right-Back",6.87,1104,0,3,3,"0.73"
"UEFA Champions League 2024/25","Lamine Yamal","Barcelona",17,"Right-Winger",7.35,1094,5,3,8,"1.21"
"UEFA Champions League 2024/25","Marc-André ter Stegen","Barcelona",32,"Goalkeeper",9.71,90,0,0,0,"-"
"UEFA Champions League 2024/25","Marc Casado","Barcelona",21,"Midfielder",6.19,633,0,2,2,"0.05"
"UEFA Champions League 2024/25","Pablo Torre","Barcelona",21,"Left-Winger",5.92,21,0,0,0,"-"
"UEFA Champions League 2024/25","Pau Cubarsí","Barcelona",18,"Centre-Back",6.14,977,0,1,1,"0"
"UEFA Champions League 2024/25","Pau Victor","Barcelona",23,"Centre-Foward",3.85,53,0,0,0,"-"
"UEFA Champions League 2024/25","Pedri","Barcelona",22,"Midfielder",7.19,1109,0,2,2,"1.05"
"UEFA Champions League 2024/25","Raphinha","Barcelona",28,"Left-Winger",8.08,1222,13,8,21,"1.94"
"UEFA Champions League 2024/25","Robert Lewandowski","Barcelona",36,"Centre-Foward",6.66,975,11,0,11,"0.52"
"UEFA Champions League 2024/25","Ronald Araújo","Barcelona",26,"Centre-Back",5.53,523,1,0,1,"-0.61"
"UEFA Champions League 2024/25","Sergi Dominguez","Barcelona",19,"Centre-Back",4.36,35,0,0,0,"-"
"UEFA Champions League 2024/25","Wojciech Szczęsny","Barcelona",35,"Goalkeeper",6.2,750,0,0,0,"0.06"
"UEFA Champions League 2024/25","Aleix García","Bayer Leverkusen",27,"Midfielder",5.01,364,1,0,1,"-"
"UEFA Champions League 2024/25","Álex Grimaldo","Bayer Leverkusen",29,"Wing-Back",6.77,865,2,1,3,"1.75"
"UEFA Champions League 2024/25","Amine Adli","Bayer Leverkusen",24,"Attacking-Mid",4.85,210,0,0,0,"-"
"UEFA Champions League 2024/25","Artem Stepanov","Bayer Leverkusen",17,"Centre-Foward",4.02,19,0,0,0,"-"
"UEFA Champions League 2024/25","Arthur","Bayer Leverkusen",21,"Wing-Back",4.65,110,0,0,0,"-"
"UEFA Champions League 2024/25","Edmond Tapsoba","Bayer Leverkusen",26,"Centre-Back",6.57,671,0,0,0,"1.55"
"UEFA Champions League 2024/25","Exequiel Palacios","Bayer Leverkusen",26,"Midfielder",6.25,662,0,0,0,"1.23"
"UEFA Champions League 2024/25","Florian Wirtz","Bayer Leverkusen",21,"Attacking-Mid",7.28,759,6,1,7,"2.26"
"UEFA Champions League 2024/25","Francis Onyeka","Bayer Leverkusen",17,"Right-Winger",4.9,15,0,0,0,"-"
"UEFA Champions League 2024/25","Granit Xhaka","Bayer Leverkusen",32,"Midfielder",5.41,818,0,0,0,"0.39"
"UEFA Champions League 2024/25","Jeanuël Belocian","Bayer Leverkusen",19,"Wing-Back",5.33,13,0,0,0,"-"
"UEFA Champions League 2024/25","Jeremie Frimpong","Bayer Leverkusen",24,"Wing-Back",6.08,793,0,3,3,"1.06"
"UEFA Champions League 2024/25","Jonas Hofmann","Bayer Leverkusen",32,"Attacking-Mid",4.87,132,0,1,1,"-"
"UEFA Champions League 2024/25","Jonathan Tah","Bayer Leverkusen",29,"Centre-Back",6.4,900,0,0,0,"1.38"
"UEFA Champions League 2024/25","Lukáš Hrádecký","Bayer Leverkusen",35,"Goalkeeper",6.84,360,0,0,0,"-"
"UEFA Champions League 2024/25","Mario Hermoso","Bayer Leverkusen",29,"Centre-Back",4.02,127,0,0,0,"-"
"UEFA Champions League 2024/25","Martin Terrier","Bayer Leverkusen",27,"Attacking-Mid",5.14,105,0,1,1,"-"
"UEFA Champions League 2024/25","Matej Kovar","Bayer Leverkusen",24,"Goalkeeper",5.88,540,0,0,0,"0.86"
"UEFA Champions League 2024/25","Nathan Tella","Bayer Leverkusen",25,"Centre-Foward",5.55,328,1,0,1,"-"
"UEFA Champions League 2024/25","Nordi Mukiele","Bayer Leverkusen",27,"Right-Back",6.69,358,1,1,2,"-"
"UEFA Champions League 2024/25","Patrik Schick","Bayer Leverkusen",29,"Centre-Foward",4.85,408,1,0,1,"-0.17"
"UEFA Champions League 2024/25","Piero Hincapié","Bayer Leverkusen",23,"Centre-Back",6.78,772,1,0,1,"1.76"
"UEFA Champions League 2024/25","Robert Andrich","Bayer Leverkusen",30,"Midfielder",5.4,276,0,1,1,"-"
"UEFA Champions League 2024/25","Victor Boniface","Bayer Leverkusen",24,"Centre-Foward",5.9,240,1,0,1,"-"
"UEFA Champions League 2024/25","Aleksandar Pavlovic","Bayern Munich",20,"Midfielder",6.01,292,0,0,0,"-"
"UEFA Champions League 2024/25","Alphonso Davies","Bayern Munich",24,"Left-Back",7.6,701,2,0,2,"1.17"
"UEFA Champions League 2024/25","Daniel Peretz","Bayern Munich",24,"Goalkeeper",6.72,90,0,0,0,"-"
"UEFA Champions League 2024/25","Dayot Upamecano","Bayern Munich",26,"Centre-Back",7.66,990,0,0,0,"1.23"
"UEFA Champions League 2024/25","Eric Dier","Bayern Munich",31,"Centre-Back",6.14,297,1,0,1,"-"
"UEFA Champions League 2024/25","Harry Kane","Bayern Munich",31,"Centre-Foward",7.45,1119,11,2,13,"1.02"
"UEFA Champions League 2024/25","Hiroki Ito","Bayern Munich",25,"Left-Back",4.61,35,0,0,0,"-"
"UEFA Champions League 2024/25","Jamal Musiala","Bayern Munich",22,"Attacking-Mid",7.43,864,3,3,6,"1"
"UEFA Champions League 2024/25","João Palhinha","Bayern Munich",29,"Midfielder",5.22,173,0,0,0,"-"
"UEFA Champions League 2024/25","Jonas Urbig","Bayern Munich",21,"Goalkeeper",6.06,303,0,0,0,"-"
"UEFA Champions League 2024/25","Joshua Kimmich","Bayern Munich",30,"Midfielder",6.72,1260,0,4,4,"0.29"
"UEFA Champions League 2024/25","Josip Stanišić","Bayern Munich",25,"Left-Back",6.58,421,0,0,0,"0.15"
"UEFA Champions League 2024/25","Kim Min-jae","Bayern Munich",28,"Centre-Back",7.06,1066,1,0,1,"0.63"
"UEFA Champions League 2024/25","Kingsley Coman","Bayern Munich",28,"Left-Winger",5.66,458,1,0,1,"-0.77"
"UEFA Champions League 2024/25","Konrad Laimer","Bayern Munich",27,"Right-Back",6.86,779,1,1,2,"0.43"
"UEFA Champions League 2024/25","Leon Goretzka","Bayern Munich",30,"Midfielder",6.07,839,1,1,2,"-0.36"
"UEFA Champions League 2024/25","Leroy Sané","Bayern Munich",29,"Right-Winger",5.69,635,1,0,1,"-0.74"
"UEFA Champions League 2024/25","Manuel Neuer","Bayern Munich",38,"Goalkeeper",6.59,822,0,0,0,"0.16"
"UEFA Champions League 2024/25","Mathys Tel","Bayern Munich",19,"Left-Midfielder",6.86,92,0,0,0,"-"
"UEFA Champions League 2024/25","Michael Olise","Bayern Munich",23,"Right-Winger",6.85,1027,5,2,7,"0.42"
"UEFA Champions League 2024/25","Raphaël Guerreiro","Bayern Munich",31,"Left-Back",5.82,520,1,0,1,"-0.61"
"UEFA Champions League 2024/25","Sacha Boey","Bayern Munich",24,"Right-Back",5.58,104,0,0,0,"-"
"UEFA Champions League 2024/25","Serge Gnabry","Bayern Munich",29,"Left-Winger",5.85,552,0,2,2,"-0.58"
"UEFA Champions League 2024/25","Sven Ulreich","Bayern Munich",36,"Goalkeeper",3.52,45,0,0,0,"-"
"UEFA Champions League 2024/25","Thomas Müller","Bayern Munich",35,"Attacking-Mid",5.62,371,3,1,4,"-"
"UEFA Champions League 2024/25","Alexander Bah","Benfica",27,"Right-Back",6.3,498,1,1,2,"0.63"
"UEFA Champions League 2024/25","Álvaro Carreras","Benfica",21,"Left-Back",6.84,900,0,2,2,"1.17"
"UEFA Champions League 2024/25","Anatolii Trubin","Benfica",23,"Goalkeeper",5.3,1080,0,0,0,"-0.37"
"UEFA Champions League 2024/25","Andrea Belotti","Benfica",31,"Centre-Foward",3.6,59,0,0,0,"-"
"UEFA Champions League 2024/25","Andreas Schjelderup","Benfica",20,"Left-Winger",5.52,402,0,0,0,"-0.15"
"UEFA Champions League 2024/25","Ángel Di María","Benfica",36,"Right-Winger",5.94,545,1,2,3,"0.27"
"UEFA Champions League 2024/25","António Silva","Benfica",21,"Centre-Back",4.99,725,0,0,0,"-0.68"
"UEFA Champions League 2024/25","Arthur Cabral","Benfica",26,"Centre-Foward",4.24,80,1,0,1,"-"
"UEFA Champions League 2024/25","Benjamín Rollheiser","Benfica",24,"Attacking-Mid",4.61,93,0,0,0,"-"
"UEFA Champions League 2024/25","Florentino Luís","Benfica",25,"Midfielder",5.67,713,0,0,0,"0"
"UEFA Champions League 2024/25","Fredrik Aursnes","Benfica",29,"Right-Midfielder",6.02,989,0,1,1,"0.35"
"UEFA Champions League 2024/25","Issa Kaboré","Benfica",23,"Right-Back",5.06,99,0,0,0,"-"
"UEFA Champions League 2024/25","Jan-Niklas Beste","Benfica",25,"Left-Winger",4.96,113,0,1,1,"-"
"UEFA Champions League 2024/25","João Rêgo","Benfica",19,"Right-Midfielder",3.84,32,0,0,0,"-"
"UEFA Champions League 2024/25","Kerem Aktürkoğlu","Benfica",26,"Left-Winger",5.62,847,4,0,4,"-0.05"
"UEFA Champions League 2024/25","Leandro Barreiro Martins","Benfica",25,"Midfielder",4.4,267,0,0,0,"-"
"UEFA Champions League 2024/25","Nicolás Otamendi","Benfica",37,"Centre-Back",6.63,1080,1,0,1,"0.96"
"UEFA Champions League 2024/25","Orkun Kökçü","Benfica",24,"Left-Midfielder",6.05,987,4,0,4,"0.38"
"UEFA Champions League 2024/25","Renato Sanches","Benfica",27,"Midfielder",4.26,146,0,0,0,"-"
"UEFA Champions League 2024/25","Samuel Dahl","Benfica",25,"Left-Back",6.45,157,0,0,0,"-"
"UEFA Champions League 2024/25","Tomás Araújo","Benfica",22,"Right-Back",5.93,924,0,0,0,"0.26"
"UEFA Champions League 2024/25","Vangelis Pavlidis","Benfica",26,"Centre-Foward",6.92,895,7,2,9,"1.25"
"UEFA Champions League 2024/25","Zeki Amdouni","Benfica",24,"Centre-Foward",5.02,249,1,0,1,"-"
"UEFA Champions League 2024/25","Charalambos Lykogiannis","Bologna",31,"Left-Back",5.84,369,0,1,1,"-"
"UEFA Champions League 2024/25","Dan Ndoye","Bologna",24,"Left-Winger",6.36,616,0,0,0,"0.69"
"UEFA Champions League 2024/25","Emil Holm","Bologna",24,"Right-Back",5.73,231,0,0,0,"-"
"UEFA Champions League 2024/25","Federico Ravaglia","Bologna",25,"Goalkeeper",5.77,90,0,0,0,"-"
"UEFA Champions League 2024/25","Giovanni Fabbian","Bologna",22,"Attacking-Mid",5.71,490,0,0,0,"0.04"
"UEFA Champions League 2024/25","Jens Odgaard","Bologna",25,"Centre-Foward",5.18,130,0,1,1,"-"
"UEFA Champions League 2024/25","Jhon Lucumí","Bologna",26,"Centre-Back",6.81,530,1,0,1,"1.14"
"UEFA Champions League 2024/25","Juan Miranda","Bologna",25,"Left-Back",5.21,305,0,0,0,"-"
"UEFA Champions League 2024/25","Kacper Urbanski","Bologna",20,"Right-Midfielder",5.57,211,0,0,0,"-"
"UEFA Champions League 2024/25","Lewis Ferguson","Bologna",25,"Midfielder",5.2,289,0,0,0,"-"
"UEFA Champions League 2024/25","Łukasz Skorupski","Bologna",33,"Goalkeeper",7.07,630,0,0,0,"1.4"
"UEFA Champions League 2024/25","Martin Erlic","Bologna",27,"Centre-Back",4.64,45,0,0,0,"-"
"UEFA Champions League 2024/25","Michel Aebischer","Bologna",27,"Midfielder",3.78,29,0,0,0,"-"
"UEFA Champions League 2024/25","Nicolò Casale","Bologna",26,"Centre-Back",5.75,219,0,0,0,"-"
"UEFA Champions League 2024/25","Nikola Moro","Bologna",26,"Midfielder",4.96,381,0,0,0,"-"
"UEFA Champions League 2024/25","Remo Freuler","Bologna",32,"Midfielder",5.25,506,0,0,0,"-0.42"
"UEFA Champions League 2024/25","Riccardo Orsolini","Bologna",27,"Right-Winger",5.62,323,0,0,0,"-"
"UEFA Champions League 2024/25","Sam Beukema","Bologna",26,"Centre-Back",6,646,0,1,1,"0.33"
"UEFA Champions League 2024/25","Samuel Iling-Junior","Bologna",21,"Left-Winger",5.62,349,1,0,1,"-"
"UEFA Champions League 2024/25","Santiago Castro","Bologna",20,"Centre-Foward",4.04,336,0,0,0,"-"
"UEFA Champions League 2024/25","Stefan Posch","Bologna",27,"Right-Back",6.56,531,0,0,0,"0.89"
"UEFA Champions League 2024/25","Thijs Dallinga","Bologna",24,"Centre-Foward",4.81,412,1,0,1,"-0.86"
"UEFA Champions League 2024/25","Tommaso Pobega","Bologna",25,"Midfielder",6.2,249,1,0,1,"-"
"UEFA Champions League 2024/25","Abdallah Sima","Brest",23,"Centre-Foward",4.98,508,3,0,3,"0.45"
"UEFA Champions League 2024/25","Abdoulaye Niakhate Ndiaye","Brest",22,"Centre-Back",6,180,0,0,0,"-"
"UEFA Champions League 2024/25","Brendan Chardonnet","Brest",30,"Centre-Back",4.99,810,0,0,0,"0.46"
"UEFA Champions League 2024/25","Edimilson Fernandes","Brest",28,"Midfielder",4.84,647,1,0,1,"0.31"
"UEFA Champions League 2024/25","Grégoire Coudert","Brest",25,"Goalkeeper",2.32,90,0,0,0,"-"
"UEFA Champions League 2024/25","Hugo Magnetti","Brest",26,"Left-Midfielder",4.65,696,1,0,1,"0.12"
"UEFA Champions League 2024/25","Ibrahim Salah","Brest",23,"Left-Winger",4.78,71,0,0,0,"-"
"UEFA Champions League 2024/25","Jonas Martin","Brest",34,"Midfielder",5.21,81,0,0,0,"-"
"UEFA Champions League 2024/25","Jordan Amavi","Brest",30,"Left-Back",5.25,83,0,0,0,"-"
"UEFA Champions League 2024/25","Julien Le Cardinal","Brest",27,"Centre-Back",5.19,256,1,0,1,"-"
"UEFA Champions League 2024/25","Kamory Doumbia","Brest",22,"Attacking-Mid",4.83,437,0,0,0,"0.3"
"UEFA Champions League 2024/25","Kenny Lala","Brest",33,"Right-Back",6.41,720,0,0,0,"1.88"
"UEFA Champions League 2024/25","Luc Zogbé","Brest",19,"Right-Back",2.81,90,0,0,0,"-"
"UEFA Champions League 2024/25","Ludovic Ajorque","Brest",30,"Centre-Foward",5.54,640,0,2,2,"1.01"
"UEFA Champions League 2024/25","Mahdi Camara","Brest",26,"Right-Midfielder",5.77,705,1,0,1,"1.24"
"UEFA Champions League 2024/25","Mama Samba Baldé","Brest",29,"Centre-Foward",5.67,451,0,1,1,"1.14"
"UEFA Champions League 2024/25","Marco Bizot","Brest",33,"Goalkeeper",6.05,810,0,0,0,"1.52"
"UEFA Champions League 2024/25","Massadio Haïdara","Brest",32,"Left-Back",5.66,616,0,0,0,"1.13"
"UEFA Champions League 2024/25","Mathias Pereira Lage","Brest",28,"Left-Winger",5.24,374,1,0,1,"-"
"UEFA Champions League 2024/25","Pierre Lees-Melou","Brest",31,"Midfielder",5.87,373,1,0,1,"-"
"UEFA Champions League 2024/25","Romain Del Castillo","Brest",28,"Right-Winger",5.16,318,0,0,0,"-"
"UEFA Champions League 2024/25","Romain Faivre","Brest",26,"Attacking-Mid",5.46,308,0,0,0,"-"
"UEFA Champions League 2024/25","Soumaïla Coulibaly","Brest",21,"Centre-Back",5.64,636,0,0,0,"1.11"
"UEFA Champions League 2024/25","Adam Idah","Celtic",24,"Centre-Foward",4.86,341,3,0,3,"-"
